year,rainfall_mm,temperature_c,soil_index,irrigation_pct,fertilizer_kg_ha,pest_pressure_index,yield_kg_ha
2000,734.9,24.74,0.72,30.9,106.1,0.12,5260.0
2001,856.8,24.89,0.717,30.5,113.7,0.16,5474.0
2002,811.0,24.46,0.715,30.0,108.7,0.24,5454.0
2003,700.6,25.04,0.712,33.3,120.0,0.28,5217.0
2004,753.3,25.78,0.7,35.1,108.1,0.81,4833.0
2005,884.1,24.89,0.701,34.2,107.7,0.18,5868.0
2006,636.4,25.54,0.694,42.1,128.2,0.35,5195.0
2007,753.3,25.13,0.691,38.7,131.4,0.47,5309.0
2008,852.0,25.23,0.684,35.2,86.7,0.13,5338.0
2009,571.0,25.78,0.68,47.1,114.3,0.29,4842.0
2010,729.3,24.87,0.678,41.2,121.1,0.38,4985.0
2011,761.3,25.17,0.68,39.9,138.4,0.73,4962.0
2012,853.5,25.61,0.675,44.7,127.1,0.45,5432.0
2013,722.7,24.71,0.668,45.9,140.0,0.27,5632.0
2014,731.4,25.29,0.673,46.3,145.2,0.3,5059.0
2015,728.9,25.25,0.667,45.8,136.1,0.3,5376.0
2016,884.4,25.78,0.657,40.1,120.0,0.25,5629.0
2017,880.2,24.99,0.664,46.4,114.0,0.93,5030.0
2018,806.2,25.59,0.67,42.5,138.0,0.44,5099.0
2019,916.2,25.85,0.665,48.3,128.6,0.36,5513.0
2020,784.2,25.47,0.666,47.7,150.9,0.29,5230.0
2021,826.4,25.62,0.66,47.3,147.6,0.33,5111.0
2022,677.8,25.13,0.663,58.3,164.9,0.27,5077.0
2023,801.5,25.73,0.652,53.1,140.1,0.22,5222.0
2024,652.8,25.13,0.651,53.2,153.4,0.21,5150.0
